121618|373|42.0362,0.1371|0.0077|40.32|922.5663|783|4.67|0.996|-0.074|-0.165|128.7564|176.4243|189.9461|35.192|-2.688|-79.575|41.06|27.0|VSP|
121629|373|42.0362,0.1371|0.0591|40.36|917.9382|825|5.29|1.041|-0.087|-0.183|287.9644|262.5399|332.5193|66.096|-14.696|-43.342|41.06|26.5|VSP|
121639|373|42.0362,0.1371|0.0858|40.4|914.2772|858|4.98|1.052|0.031|-0.154|302.0655|78.5058|205.0043|36.978|-17.385|-67.44|41.09|26.5|VSP|
121649|373|42.0362,0.1371|0.0529|40.39|907.0875|923|8.66|0.794|0.08|-0.113|329.2831|331.1229|46.8722|33.584|-23.299|-21.844|41.06|26.06|VSP|
121659|373|42.0362,0.1371|0.1552|40.44|901.4622|975|8.66|0.921|0.019|-0.14|50.9678|300.527|324.1328|46.625|-17.743|-61.545|41.09|25.88|VSP|
121709|373|42.0391,0.1429|1.9948|40.48|897.0701|1015|6.21|1.119|0.037|-0.309|259.2656|349.4936|127.4152|47.16|-22.582|-23.231|41.1|25.31|VSP|
121719|892|42.0392,0.1429|4.3438|40.52|891.7068|1064|5.46|1.018|-0.044|-0.25|26.0017|238.0173|21.9082|43.052|-22.403|-58.425|41.06|24.69|VSP|
121729|895|42.0392,0.143|6.7427|40.54|885.4204|1123|6.68|0.941|0.032|-0.246|53.7222|270.8478|275.442|27.51|-16.13|-12.829|41.07|24.06|VSP|
121740|897|42.0393,0.143|7.4674|40.52|879.8124|1175|4.88|0.924|0.032|-0.231|307.3961|246.7623|218.3648|15.184|-10.574|-70.56|41.06|23.75|VSP|
121750|899|42.0393,0.143|6.6584|40.54|874.2634|1227|5.47|1.147|-0.083|-0.159|172.8698|111.6589|356.3862|53.77|-24.912|-40.048|41.06|23.06|VSP|
121800|902|42.0393,0.1431|6.0457|40.53|869.1585|1275|5.47|1.049|0.015|-0.201|105.8656|166.5588|275.2235|11.611|-21.686|-37.274|41.05|23.06|VSP|
121810|905|42.0393,0.1432|5.5517|40.57|864.6083|1318|5.37|0.999|-0.015|-0.155|210.4177|60.3325|156.7146|5.538|-12.725|-59.118|41.01|22.5|VSP|
121820|908|42.0394,0.1432|4.6964|40.58|859.2356|1369|8.4|1.052|-0.084|-0.174|33.7324|291.5782|41.5607|16.077|-18.998|-26.699|41.03|22.0|VSP|
121830|911|42.0394,0.1433|5.6026|40.59|854.5983|1413|7.81|1.002|-0.055|-0.146|150.5246|334.3782|189.3053|44.66|-20.79|-57.211|41.04|21.56|VSP|
121841|915|42.0394,0.1433|7.1662|40.65|849.8332|1459|5.4|0.984|-0.012|-0.233|234.482|175.4864|196.6964|60.38|-18.998|-30.166|41.03|20.88|VSP|
121851|919|42.0395,0.1434|6.3258|40.62|845.1607|1504|5.52|1.055|0.007|-0.132|122.4645|313.2466|74.6712|16.971|-7.348|-74.721|40.97|20.62|VSP|
121901|924|42.0395,0.1434|3.6607|40.61|840.5887|1548|5.52|0.997|0.027|-0.122|0.121|55.301|145.37|23.938|-13.621|-72.814|40.98|20.44|VSP|
121911|929|42.0395,0.1435|3.0043|40.62|835.5852|1596|7.84|1.002|-0.054|-0.163|93.1269|348.6554|341.9052|23.938|-21.865|-22.538|40.96|20.0|VSP|
121921|934|42.0395,0.1435|4.1577|40.6|830.1519|1649|7.19|0.984|-0.005|-0.189|221.601|123.9202|232.9646|47.339|-22.045|-20.631|40.96|20.0|VSP|
121932|939|42.0395,0.1436|3.7851|40.56|824.5043|1705|5.3|0.999|-0.025|-0.163|313.5055|331.1229|242.2105|59.844|-12.008|-61.892|40.88|19.56|VSP|
